Cim,Szerzo,Megjegyzes
Casa lux,Névtelen,Hálószoba/ 1-es szekrény/ 2-es polc/ 9-ik könyv
Ferenczy Béni arcképe,Névtelen,Hálószóba/ 1-es szekrény/ 3-ik polc / elso könyv
Slowakei,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 10-dik könyv
Erdély rövid története,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 11-dik könyv
Kis Erdély-történet,Harald Roth,Hálószoba/ 1-es szekrény/ 3-as polc/ 12-dik könyv
Évek és képek,RMDSZ,Hálószoba/ 1-es szekrény/ 3-as polc/ 13-dik könyv
Húszéves az RMDSZ,RMDSZ,Hálószoba/ 1-es szekrény/ 3-as polc/ 14-dik könyv
Idok jelei (keresztény szemléletu analitikus folyóirat),Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 15-dik könyv
1989-1999,RMDSZ,Hálószoba/ 1-es szekrény/ 3-as polc/ 16-dik könyv
Öngyógyítás talpmasszázzsal,Carter Weber,Hálószoba/ 1-es szekrény/ 3-as polc/ 17-dik könyv
"""Gyógyítás formával, energiával és fénnyel""",Tenzin Wangyal Rinpocse,Hálószoba/ 1-es szekrény/ 3-as polc/ 18-dik könyv
Öreg utakon,Fekete István,Hálószoba/ 1-es szekrény/ 3-as polc/ 19-dik könyv
Betu és rajz,Deák Ferenc,Hálószoba/ 1-es szekrény/ 3-as polc/ 2-dik könyv
101 vers Nagykárolyról,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 20-dik könyv
Sáska sógor,Imreh Lajos,Hálószoba/ 1-es szekrény/ 3-as polc/ 21-dik könyv
A lélek nyelve: a betegség,Rüdiger Dahlke,Hálószoba/ 1-es szekrény/ 3-as polc/ 22-dik könyv
Vadászok,Fekete István,Hálószoba/ 1-es szekrény/ 3-as polc/ 23-dik könyv
Sepsiszentgyörgytol Turinig és vissza,Ifj. Gödri Ferenc,Hálószoba/ 1-es szekrény/ 3-as polc/ 24 és 25-dik könyv
"""Puskás Tivadar, a nagy magyar feltaláló""",Puskás Attila,Hálószoba/ 1-es szekrény/ 3-as polc/ 26-dik könyv
A bábu I-II,Boleslaw Prus,Hálószoba/ 1-es szekrény/ 3-as polc/ 27 és 28-dik könyv
"""Halló, doktor bácsii""",Dr. Löwi Károly,Hálószoba/ 1-es szekrény/ 3-as polc/ 29-dik könyv
Szilágyságtól Új-Guneáig,Benedek Zoltán,Hálószoba/ 1-es szekrény/ 3-as polc/ 3-dik könyv
Szilágysági hepehupa,Beke György,Hálószoba/ 1-es szekrény/ 3-as polc/ 30-dik könyv
Emlékezés Bedo Adalbertre 1839-1999 (MTA emlékulés),Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 31-dik könyv
Inteligencia tesztek,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 32-dik könyv
Muveltségi teszt,William Gatez,Hálószoba/ 1-es szekrény/ 3-as polc/ 33-dik könyv
Miénk az ido,Dienes Valéria,Hálószoba/ 1-es szekrény/ 3-as polc/ 34-dik könyv
Válogatott tanulmányok,Szent-Györgyi Albert,Hálószoba/ 1-es szekrény/ 3-as polc/ 35-dik könyv
Drámák,Friedrich Dürrenmatt,Hálószoba/ 1-es szekrény/ 3-as polc/ 36-dik könyv
Az iskola betegít?,Vekerdy Tamás,Hálószoba/ 1-es szekrény/ 3-as polc/ 37-dik könyv
Ellentmondások és dillemák,Kornai János,Hálószoba/ 1-es szekrény/ 3-as polc/ 38-dik könyv
Románia,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 39-dik könyv
Óvodai zenei nevelésünk,Mészáros István,Hálószoba/ 1-es szekrény/ 3-as polc/ 4-dik könyv
Utak és ösvények,Puskás Attila,Hálószoba/ 1-es szekrény/ 3-as polc/ 40-dik könyv
"""Székelyföld, a legendák világa""",Pataki János,Hálószoba/ 1-es szekrény/ 3-as polc/ 41-dik könyv
Paris top 10,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 42-dik könyv
Loire- Atlantique,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 43-dik könyv
Arcképek Szarvas múltjából,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 44-dik könyv
Adalékok Barót történetéhez,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 45-dik könyv
Erdély felfedezése 3. (Az erdovidéki emberek),Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 46-dik könyv
Sepsiszentgyörgy,József Álmos,Hálószoba/ 1-es szekrény/ 3-as polc/ 47-dik könyv
Nagy Szeben város krónikája 1100-1929,Emil Sigerus,Hálószoba/ 1-es szekrény/ 3-as polc/ 48-dik könyv
Borszék,Nagy- Bodó Tibor,Hálószoba/ 1-es szekrény/ 3-as polc/ 49-dik könyv
Antikomunista kiáltvány,Dancsházy Sándor,Hálószoba/ 1-es szekrény/ 3-as polc/ 5-dik könyv
Drumuri în ?ara Zarandului,I. Pârva,Hálószoba/ 1-es szekrény/ 3-as polc/ 50-dik könyv
Gyógyító évtized,Névtelen,Hálószoba/ 1-es szekrény/ 3-as polc/ 6-dik könyv
Balatonfenyves,Buza Péter,Hálószoba/ 1-es szekrény/ 3-as polc/ 7-dik könyv
Négy állomás József Attila életútján,Takács László,Hálószoba/ 1-es szekrény/ 3-as polc/ 8-dik könyv
A nádori kripta,Hankó Ildikó,Hálószoba/ 1-es szekrény/ 3-as polc/ 9-dik könyv
A kórai román és a román stílus,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ elso könyv
A rokokó és a klasszicizmus,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 10-dik könyv
"""Romantika, realizmus és szecesszió""",Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 11-dik könyv
Ázsia,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 12-dik könyv
"""Amerika, Afrika, Oceánia""",Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 12-dik könyv
A húszadik század,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 14-dik könyv
A legújjabb irányzatok,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 15-dik könyv
A Biblia tíz vázlatproféciája,Reisinger János,Hálószoba/ 1-es szekrény/ 4-es polc/ 16-dik könyv
Építs megbízható alapra!,Fran Armour,Hálószoba/ 1-es szekrény/ 4-es polc/ 17-dik könyv
Kötokönyve,M. Recht Mártha,Hálószoba/ 1-es szekrény/ 4-es polc/ 18-dik könyv
Sepsiszentgyörgy 2005,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 19-dik könyv
Bizánc- az iszlám,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 2-dik könyv
Székely hagyományok,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 20 és 21-dik könyv
Souvenirs: Around the world in ninty years,Ováry Zoltán,Hálószoba/ 1-es szekrény/ 4-es polc/ 22-dik könyv
Világszem: Magyar vershangverseny I-II,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 23 és 24-dik könyv
Az én házam,Callmeyer Rajkó,Hálószoba/ 1-es szekrény/ 4-es polc/ 25-dik könyv
Înva?a?i franceza simplu ?i repede,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 26-dik könyv
DEX,Academia Româna,Hálószoba/ 1-es szekrény/ 4-es polc/ 27-dik könyv
Sistemul complet de autovindecare,Dr. Stephen T. Chang,Hálószoba/ 1-es szekrény/ 4-es polc/ 29-dik könyv
A klasszikus ókor,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 3-dik könyv
Leacuri fara doctor,Dr. John E. Eichenlaub,Hálószoba/ 1-es szekrény/ 4-es polc/ 30-dik könyv
Sepszentgyörgy 550,Cserey Zoltán,Hálószoba/ 1-es szekrény/ 4-es polc/ 32 és 33-dik könyv
"""Cluj-Napoca, inima transilvaniei""",Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 34-dik könyv
1850 Clujul istorico-artistic,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 35-dik könyv
Boldog békeidok,Demeter Lajos,Hálószoba/ 1-es szekrény/ 4-es polc/ 36-dik könyv
Kincses erdélyi városok,Szász András,Hálószoba/ 1-es szekrény/ 4-es polc/ 37-dik könyv
A kórai civilizációk,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 4-dik könyv
A korai reneszánsz Itáliában,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 5-dik könyv
Az érett reneszánsz,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 6-dik könyv
A reneszánsz elterjedése Európában,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 7-dik könyv
Itáliai és spanyol barokk,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 8-dik könyv
A barokk elterjedése Európában,Névtelen,Hálószoba/ 1-es szekrény/ 4-es polc/ 9-dik könyv
A holdbéli pásztor,Ablonczy László,Nappali/ 3-as szekrén/ 1-es polc/ 18-dik könyv
Vedlések,Popoescu,Hálószoba/ 2-es szekrény/ 1-es polc/ elso könyv
"""Halálos tavasz, Szépapám szerelme""",Zilahy Lajos,Hálószoba/ 2-es szekrény/ 1-es polc/ elso könyv
Az Európai Unió gazdaságtan,Névtelen,Hálószoba/ 2-es szekrény/ 1-es polc/ 10-dik könyv
Ördögölo Józsiás,Tamási Áron,Hálószoba/ 2-es szekrény/ 1-es polc/ 11-dik könyv
"""Családi képek, levelek""",Köntös-Szabó Zoltán,Hálószoba/ 2-es szekrény/ 1-es polc/ 12-dik könyv
Zsé birtoka,Pusztai János,Hálószoba/ 2-es szekrény/ 1-es polc/ 13-dik könyv
Kilenc vesszoparipa,Méhes György,Hálószoba/ 2-es szekrény/ 1-es polc/ 14-dik könyv
A székelyföld,Orbán Balázs,Hálószoba/ 2-es szekrény/ 1-es polc/ 15-dik könyv
Az oroszlánbor,Somereset Maughan,Hálószoba/ 2-es szekrény/ 1-es polc/ 16-dik könyv
Petofi Sándor,Illyés Gyula,Hálószoba/ 2-es szekrény/ 1-es polc/ 17-dik könyv
Ketten a halál ellen,Dymphna Cusach,Hálószoba/ 2-es szekrény/ 1-es polc/ 18-dik könyv
Szeptemberi rózsák,André Maurois,Hálószoba/ 2-es szekrény/ 1-es polc/ 19-dik könyv
Virág alatt iszap fölött,Kacsó Sándor,Hálószoba/ 2-es szekrény/ 1-es polc/ 20-dik könyv
Fogy a virág gyul az iszap,Kacsó Sándor,Hálószoba/ 2-es szekrény/ 1-es polc/ 21-dik könyv
Elfújta a szél,Margaret Mitchell,Hálószoba/ 2-es szekrény/ 1-es polc/ 22-dik könyv
Gyalog versek,Márton Júlia,Hálószoba/ 2-es szekrény/ 1-es polc/ 23-dik könyv
Séta gramofonzenére,Szávai Géza,Hálószoba/ 2-es szekrény/ 1-es polc/ 24-dik könyv
Koalíció és pártharcok,Vida István,Hálószoba/ 2-es szekrény/ 1-es polc/ 25-dik könyv
Székelyek a múló idoben,Imreh István,Hálószoba/ 2-es szekrény/ 1-es polc/ 26-dik könyv
Halál Párizsban,Lackó Mihály,Hálószoba/ 2-es szekrény/ 1-es polc/ 27-dik könyv
Vörös és fekete,Stendal,Hálószoba/ 2-es szekrény/ 1-es polc/ 28-dik könyv
Sorsok és vonzások,Kemény Zsigmond,Hálószoba/ 2-es szekrény/ 1-es polc/ 29-dik könyv
Marosszék 1848-1849,Névtelen,Hálószoba/ 2-es szekrény/ 1-es polc/ 3-dik könyv
Dzsingisz kán,John Man,Hálószoba/ 2-es szekrény/ 1-es polc/ 3-dik könyv
Az úriasszony,Gömbösné Galamb Margit,Hálószoba/ 2-es szekrény/ 1-es polc/ 30-dik könyv
"""Erzsébet királyné, a koronás szépasszony""",Nyitó Gyöngyvér,Hálószoba/ 2-es szekrény/ 1-es polc/ 31-dik könyv
Attila hun király élete,Bánki Vajk Emil,Hálószoba/ 2-es szekrény/ 1-es polc/ 4-dik könyv
Ben Hur,Lewis Wallace,Hálószoba/ 2-es szekrény/ 1-es polc/ 5-dik könyv
Stuárt Mária,Stefan Zweig,Hálószoba/ 2-es szekrény/ 1-es polc/ 6-dik könyv
"""Despre Dej, Ceau?escu ?i Iliescu""",Alexandru Bârladeanu,Hálószoba/ 2-es szekrény/ 1-es polc/ 7-dik könyv
Marie Antoinette,Stefan Zweig,Hálószoba/ 2-es szekrény/ 1-es polc/ 7-dik könyv
Ferenc József,Ottokár Janetschek,Hálószoba/ 2-es szekrény/ 1-es polc/ 8-dik könyv
Mária Terézia,Németh Andor,Hálószoba/ 2-es szekrény/ 1-es polc/ 9-dik könyv
A grafikus,Molnár C. Pál,Hálószoba/ 2-es szekrény/ 2-es polc/ elso könyv
Ének a csodaszarvasról,Jankovics Marcell,Hálószoba/ 2-es szekrény/ 2-es polc/ 10-dik könyv
Új magyar címertan,Bertényi Iván,Hálószoba/ 3-as szekrény/ 3-es polc/ 20-dik könyv
A marosvásárhelyi Teleki-Bólyai könyvtár,Deé Nagy Anikó,Hálószoba/ 2-es szekrény/ 2-es polc/ 12-dik könyv
A kolozsvári Szent Mihály templom,Sas Péter,Hálószoba/ 2-es szekrény/ 2-es polc/ 13-dik könyv
Európa ma és holnap,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 14-dik könyv
Munkácsy Krisztus-trilógiája,Reisinger János,Hálószoba/ 2-es szekrény/ 2-es polc/ 14-dik könyv
Munkácsy képek Erdélyben,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 15 és 16-dik könyv
A belváros,Szabóky Zsolt,Hálószoba/ 2-es szekrény/ 2-es polc/ 17-dik könyv
Fametszetek,Nagy Imre,Hálószoba/ 2-es szekrény/ 2-es polc/ 18-dik könyv
Nagyanyáink öröksége,Lengyel Györgyi,Hálószoba/ 2-es szekrény/ 2-es polc/ 19-dik könyv
Tudományos vegetariánizmus,Székely Eduárd,Hálószoba/ 2-es szekrény/ 2-es polc/ 2-dik könyv
Mesélem a hazám: Kortárs vidéki építészet,Köllo Miklós,Hálószoba/ 2-es szekrény/ 2-es polc/ 2-dik könyv
Erdélyi muvészti központ 2019,Ábrahám Jakab,Hálószoba/ 2-es szekrény/ 2-es polc/ 20-dik könyv
Oradea: capitala art nouveau ?i a bailor termale,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 21-dik könyv
Az elpattant láncszem...,Vákár Tibor,Hálószoba/ 2-es szekrény/ 2-es polc/ 22-dik könyv
A város arcai és arculata,Sebestény József,Hálószoba/ 2-es szekrény/ 2-es polc/ 23 és 24-dik könyv
Sepsiszentgyörgy 2011,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 25-dik könyv
A Székely Nemzeti Múzeum története és gyujteményei,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 26-dik könyv
"""Stációk, Morvay László tuzzománcai...""",Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 27-dik könyv
Museé de lErmitage,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 28-dik könyv
Ghid ilustrat prin Moscova,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 29-dik könyv
Testamentum és agrikultúra,Kós Károly,Hálószóba/ 6-os szekrény/ 2-es polc/ 24-ik könyv
Muemlékvédelem Torockón,Furu Árpád,Hálószoba/ 2-es szekrény/ 2-es polc/ 3-dik könyv
Nincs lehetetlen,Alejandro Bullón,Hálószoba/ 2-es szekrény/ 2-es polc/ 30-dik könyv
A boldogság és egészség titkai,Ellen G. White,Hálószoba/ 2-es szekrény/ 2-es polc/ 31-dik könyv
Kezd el élni!,Lucian Cristescu,Hálószoba/ 2-es szekrény/ 2-es polc/ 32-dik könyv
"""Jó, ha tudod!""",Dr. Leonard Azamfirei,Hálószoba/ 2-es szekrény/ 2-es polc/ 33-dik könyv
Életmód-változtatás hétrol hétre,Alicen Ludington,Hálószoba/ 2-es szekrény/ 2-es polc/ 34-37-dik könyv
Megújulás lelke,"""John testvér, Teizé""",Hálószoba/ 2-es szekrény/ 2-es polc/ 38-dik könyv
"""Igen, Uram!""",Gots Antal,Hálószoba/ 2-es szekrény/ 2-es polc/ 39-dik könyv
Élni-mibol?,Reisinger János,Hálószoba/ 2-es szekrény/ 2-es polc/ 40-dik könyv
"""""""Ha meghal az ember, hol van o?""""""",Vankó Zsuzsa,Hálószoba/ 2-es szekrény/ 2-es polc/ 41 és 42-dik könyv
A reménység ereje,Julián Mengosa,Hálószoba/ 2-es szekrény/ 2-es polc/ 43-dik könyv
Máriazelltol Csíksomlyóig,Ábráham Noémi,Hálószoba/ 2-es szekrény/ 2-es polc/ 44-dik könyv
Jézus él és szabaddá tesz,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 45-dik könyv
A megváltás története,Ellen G. White,Hálószoba/ 2-es szekrény/ 2-es polc/ 46-dik könyv
Velünk az Isten,Ellen G. White,Hálószoba/ 2-es szekrény/ 2-es polc/ 47-dik könyv
Mirol szól a Jelenések könyve?,Reisinger János,Hálószoba/ 2-es szekrény/ 2-es polc/ 48-dik könyv
Dániel könyvének megmagyarázása,Moldován Vilmos,Hálószoba/ 2-es szekrény/ 2-es polc/ 49 és 50-dik könyv
"""Kiszabadítottuk, a Szabadság-szobor töténete""",RMDSZ,Hálószoba/ 2-es szekrény/ 2-es polc/ 5-dik könyv
Isten szava hozzánk,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 51-dik könyv
Dániel és Jelenések könyve párhuzamos magyarázatokkal,Reisinger János,Hálószoba/ 2-es szekrény/ 2-es polc/ 52-dik könyv
Isten küldött egy embert,C. B. Haynes,Hálószoba/ 2-es szekrény/ 2-es polc/ 53-dik könyv
A nagy küzdelem,Ellen G. White,Hálószoba/ 2-es szekrény/ 2-es polc/ 54-dik könyv
Életem lélek-utazása,Sri Chinmoy,Hálószoba/ 2-es szekrény/ 2-es polc/ 55-dik könyv
Székely receptek Antal Árpád és Tamás Sándor kedvenceivel,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 56-dik könyv
Egészségkönyv,Ferenczy László,Hálószoba/ 2-es szekrény/ 2-es polc/ 57-dik könyv
Imagianea de ansamblu,Ben Carson,Hálószoba/ 2-es szekrény/ 2-es polc/ 58-dik könyv
Mi lesz veled világ?,Alejandro Bullón,Hálószoba/ 2-es szekrény/ 2-es polc/ 59-dik könyv
A mai világ és a jövo forgatókönyvei,Névtelen,Hálószoba/ 2-es szekrény/ 2-es polc/ 6-dik könyv
Az igazi Michelangelo-kód,Gilson Barreto,Hálószoba/ 2-es szekrény/ 2-es polc/ 6-dik könyv
Feljegyzések,Arthur S. Maxwell,Hálószoba/ 2-es szekrény/ 2-es polc/ 60-dik könyv
A kolozsvári jezsuita majd piarista templom,Sas Péter,Hálószoba/ 2-es szekrény/ 2-es polc/ 7-dik könyv
A világítótorony,Kolozsvári József,Hálószoba/ 2-es szekrény/ 2-es polc/ 8-dik könyv
Közgazdaságtan,Nordhaus,Hálószoba/ 2-es szekrény/ 2-es polc/ 9-dik könyv
Feng shui praktikák,Lillian Too,Hálószoba/ 2-es szekrény/ 3-as polc/elso könyv
Írói arcképek,Nagy Imre,Hálószoba/ 2-es szekrény/ 3-as polc/ 10-dik könyv
Jelen és jövo- Nemzeti parkjaink,Névtelen,Hálószoba/ 2-es szekrény/ 3-as polc/ 11-dik könyv
Az emberiség öröksége 1-6,Névtelen,Hálószoba/ 2-es szekrény/ 3-as polc/ 12-17-dik könyv
Székely nemesi családok 1-4,Névtelen,Hálószoba/ 2-es szekrény/ 3-as polc/ 2-5-dik könyv
Erosítsd az IQ-d,Skitt,Hálószoba/ 2-es szekrény/ 3-as polc/ 6-dik könyv
Kincsek a nemzet könyvtárából,Névtelen,Hálószoba/ 2-es szekrény/ 3-as polc/ 6 és 7-dik könyv
A bor- praktikus ismeretek,Névtelen,Hálószoba/ 2-es szekrény/ 3-as polc/ 7-dik könyv
Szigetköz,Alexay Zoltán,Hálószoba/ 2-es szekrény/ 3-as polc/ 8-dik könyv
Kandallók és cserépkályhák,H.-P. Bauer-Böckler,Hálószoba/ 2-es szekrény/ 3-as polc/ 9-dik könyv
Erdélyi fejedelmek,Sebestény Mihály,Hálószoba/ 2-es szekrény/ 4-es polc/ elso könyv
Kandallók és cserépkályhák,Böchler,Hálószoba/ 2-es szekrény/ 4-es polc/ 3-dik könyv
Erdély képes öröksége,Névtelen,Hálószoba/ 2-es szekrény/ 4-es polc/ 6-dik könyv
Sziget köz,Alexay Zoltán,Hálószoba/ 2-es szekrény/ 4-es polc/ 9-dik könyv
Ablak a végtelenre,Bojte Csaba testvér,Hálószoba/ 5-ös szekrény/ 3-as polc/ 6-ik könyv
A pompeji jóslatok,Philipp Vanderberg,Hálószoba/ 3-as szekrény/ 1-es polc/ elso könyv
Szövetségben a halál ellen,Bárányi László Ildikó,Hálószoba/ 3-as szekrény/ 1-es polc/10-ik könyv
Szép versek,Névtelen,Hálószoba/ 3-as szekrény/ 1-es polc/11-ik könyv
Erdélyi csillagok,Névtelen,Hálószoba/ 3-as szekrény/ 1-es polc/12-ik könyv és Gyerekszoba/ 4-es szekrény/ 5-ös polc/ 27-dik könyv
A falu jegyzoje,Eötvös József,Hálószoba/ 3-as szekrény/ 1-es polc/ 13-ik könyv és Hálószoba/ kicsi szekrény/ 1-es polc/ 8-dik könyv
Titánok,Gál György Sándor,Hálószoba/ 3-as szekrény/ 1-es polc/ 14-dik könyv
Ravennában temették Rómát,Passuth László,Hálószoba/ 3-as szekrény/ 1-es polc/15-ik könyv
Beavatás (Magállamok),Czakó Gábor,Hálószoba/ 3-as szekrény/ 1-es polc/ 16-dik könyv
Beavatás (Ádám bokra),Czakó Gábor,Hálószoba/ 3-as szekrény/ 1-es polc/17-ik könyv
A Buddenbrok-ház,Thomas Mann,Hálószoba/ 3-as szekrény/ 1-es polc/ 18-dik könyv
Oroszlán kölykök,Irwin Shaw,Hálószoba/ 3-as szekrény/ 1-es polc/ 18-dik könyv
Képek a kutyaszorítóból I-II,Szabó Gyula,Hálószoba/ 3-as szekrény/ 1-es polc/19 és 20-ik könyv
Nofrette,Philipp Vanderberg,Hálószoba/ 3-as szekrény/ 1-es polc/2-dik könyv
A korszeusödo és hagyományorzo erdély I-II,Egyed Ákos,Hálószoba/ 3-as szekrény/ 1-es polc/21 és 22-ik könyv
Erdély 1848-1849 I.,Egyed Ákos,Hálószoba/ 3-as szekrény/ 1-es polc/23-ik könyv
Erdélyi panteon (muvelodéstörténeti vázlatok),Névtelen,Hálószoba/ 3-as szekrény/ 1-es polc/24-ik könyv
Mare?ia Imperiului Inca,Michael Strasuss,Hálószoba/ 3-as szekrény/ 1-es polc/25-ik könyv
Civiliza?ia Maya,Diego Rival,Hálószoba/ 3-as szekrény/ 1-es polc/26-ik könyv
"""Preistoria, o epoca misterioasa""",Christian Strauss,Hálószoba/ 3-as szekrény/ 1-es polc/27-ik könyv
Realita?i ?i engime ale arheologiei,Olivier Souchon,Hálószoba/ 3-as szekrény/ 1-es polc/28-ik könyv
Insula Pa?telui,Al Morrison,Hálószoba/ 3-as szekrény/ 1-es polc/29-ik könyv
Közösség és muvelodés,Csutak Vilmos,Hálószoba/ 3-as szekrény/ 1-es polc/3-ik könyv
Atlantida,Robert Cohen,Hálószoba/ 3-as szekrény/ 1-es polc/30-ik könyv
Egiptul Faraonilor,Robert Cohen,Hálószoba/ 3-as szekrény/ 1-es polc/31-ik könyv
Útravaló,Névtelen,Hálószoba/ 3-as szekrény/ 1-es polc/33-ik könyv
Anna a pesti bárban,Orbán János Dénes,Hálószoba/ 3-as szekrény/ 1-es polc/4-ik könyv
Marco Polo (A velencei karaván),Muriel Romana,Hálószoba/ 3-as szekrény/ 1-es polc/5-ik könyv
"""Vásott kölykök, Rettenetes szülok""",Jeu Cocteau,Hálószoba/ 3-as szekrény/ 1-es polc/6-ik könyv
Szerelem és halál órája,Erich Maria Remarque,Hálószoba/ 3-as szekrény/ 1-es polc/7-ik könyv
I. Titus,Jean Francois Nahnas,Hálószoba/ 3-as szekrény/ 1-es polc/8-ik könyv
"""Erdélyi irodalom, Világirodalom""",Dávid Gyula,Hálószoba/ 3-as szekrény/ 1-es polc/9-ik könyv
Történelem 1-2,Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/ elso könyv
Hátrahagyott iratok és levelezések,Arany János,Hálószoba/ 3-as szekrény/ 1-es polc/elso könyv
Kossuth Lajos iratai,Kossuth Lajos,Hálószoba/ 3-as szekrény/ 2-es polc/ 10-dik könyv
Kopjafák,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/10 és 11-ik könyv
A sibói bölény,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/12-ik könyv
Halhatalan élet,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/13-ik könyv
Isten igájában,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/14-ik könyv
Uz Bence,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/15-ik könyv
Mádéfalvi veszedelem,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/16-ik könyv
Jézusfaragó ember,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/17-ik könyv
Az én népem,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/18-ik könyv
Havasok könyve,Nyiro János,Hálószoba/ 3-as szekrény/ 2-es polc/19-ik könyv
A koszívu ember fiai,Jókai Mór,Hálószoba/ 3-as szekrény/ 1-es polc/2-ik könyv
Gyöngy-hajadon,Rider Haggard,Hálószoba/ 3-as szekrény/ 2-es polc/20-ik könyv
Pogányok,Herczeg Ferenc,Hálószoba/ 3-as szekrény/ 2-es polc/21-ik könyv
Ragyog egy csillag,Tamási Áron,Hálószoba/ 3-as szekrény/ 2-es polc/22 és 24-ik könyv
Bölcso és bagoly,Tamási Áron,Hálószoba/ 3-as szekrény/ 2-es polc/23-ik könyv
Egyidejuségek,Mózes Attila,Hálószoba/ 3-as szekrény/ 2-es polc/25-ik könyv
Abszolutizmus és kiegyezés 1849-1867,Somogyi Éva,Hálószoba/ 3-as szekrény/ 2-es polc/26-ik könyv
"""""""Nagy két császár birodalmi között"""" (magyar história)""",Újváry Zsuzsanna,Hálószoba/ 3-as szekrény/ 2-es polc/26-ik könyv
A gyertyák csontig égnek,Márai Sándor,Hálószoba/ 3-as szekrény/ 2-es polc/28-ik könyv
Válogatott elbészélések,Thomas Mann,Hálószoba/ 3-as szekrény/ 1-es polc/ 29-dik könyv
Múltunk kötelez,Kádár Gyula,Hálószoba/ 3-as szekrény/ 2-es polc/30-ik könyv
Darabokra szaggattatol (1940),Bánffy Miklós,Hálószoba/ 3-as szekrény/ 2-es polc/32-ik könyv
És hijjával találtattál,Bánffy Miklós,Hálószoba/ 3-as szekrény/ 2-es polc/33-ik könyv
Megszámláltattál,Bánffy Miklós,Hálószoba/ 3-as szekrény/ 2-es polc/34-ik könyv
Erdélyi féniks,Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/35-ik könyv
Erdélyi Tetok,Tavaszy Sándor,Hálószoba/ 3-as szekrény/ 2-es polc/365-ik könyv
Kolozsvár épített kincsei,Asztalos Lajos,Hálószoba/ 3-as szekrény/ 2-es polc/37-ik könyv
Körösparti Metropolis (Nagyváradi legendárium),Hegedüs Géza,Hálószoba/ 3-as szekrény/ 2-es polc/38-ik könyv
Scrisori din închisoare ?i alte eseuri,Adam Michnik,Hálószoba/ 3-as szekrény/ 2-es polc/39-ik könyv
Kismamák tudnivalói,Dr. Pap Zoltán,Hálószoba/ 3-as szekrény/ 2-es polc/40-ik könyv
