Cim,Szerzo,Megjegyzes
Burgum Bélus mesterdetektív  nyomozásai az óceánba,Szávai Géza,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 5-dik könyv
Schi?e,Ion Luca Caragile,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 50-dik könyv
Lekvár Misi és Borzas Peti,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 51-dik könyv
A nagy meglepetés,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 52-dik könyv
Meseország kapuja,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 53-dik könyv
Aranyréten aranyfu,Benedek Elek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 54-dik könyv
A háromágú tölgyfa tündére,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 55-dik könyv
A titkos kert,Frances Hodson Burnett,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 56-dik könyv
Nagy Indiánkönyv,J. F. Cooper,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 57-dik könyv
Winnetou kalandjai,Karl May,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 58-dik könyv
Winnetou,Karl May,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 59-dik könyv
Manótánc,Kovács András Ferenc,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 60-dik könyv
A gazdaság színpadán,Lányiné Garay Katalin,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 61-dik könyv
Rajzos zenetöténet,Bernard Deyriés,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 62-dik könyv
365 napra 365 mese,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 63-dik könyv
Hetvenhét magyar népmese,Illyés Gyula,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 7-dik könyv
Szalonnafa,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 8-dik könyv
Bibliai töténetek gyerekeknek,Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 9 és 10-dik könyv
"""A felhok között,  a világ legmagasabb csúcsai""",Stefano Ardito,Gyerekszóba/ 1-es szekrény/ 3-as polc/ elso könyv
Híres helyek,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 10-dik könyv
Színes tudomány,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 11-dik könyv
A világ lovainak nagy katalógusa,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 12-dik könyv
A barokk,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 13-dik könyv
Zöldvarázs,Decsi Diána,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 14-dik könyv
Nemzeti parkok Magyarországon,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 15-dik könyv
Budapest és környéke,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 16-dik könyv
Dinoszaurusz enciklopédia,Macmillan,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 17-dik könyv
Görögök-Mítoszok és legendák,Alain Quesnel,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 18-dik könyv
Egyiptom-Mítoszok és legendák,Alain Quesnel,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 19-dik könyv
A legszebb nemzeti parkok,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 2-dik könyv
Az univerzum felfedezése,Névtelen,Gyerekszóba/ 1-es szekrény/ 3-as polc/ 20-dik könyv
Pacsirta,Kosztolányi Dezso,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 16-dik könyv
Balladák,Arany János,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 17-dik könyv
Zarándokút,Dsida Jeno,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 18-dik könyv
Szürke szonettek,Kányádi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 19-dik könyv
Dél keresztje alatt,Kányádi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 20-dik könyvv
Kecske mesék,Kányádi Sándor,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 21 és 22-dik könyv
Magyar vagyok (válogatott versek),Petofi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 23-dik könyv
Te alszol mélyebben,Gyorfi Kata,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 24-dik könyv
Összes költeménye,József Attila,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 3-dik könyv
Összes költeménye,Ady Endre,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 4-dik könyv
Összes verse,Petofi Sándor,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 5 és 6-dik könyv
Összes verse,Arany János,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 7-dik könyv
"""Toldi, Toldi estéje, Buda halála""",Arany János,Gyerekszóba/ 1-es szekrény/ 1-es polc/ 8-dik könyv
Legszebb népballadáink,Névtelen,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 9-dik könyv és Hálószoba/ kicsi szekrény/ 2-es polc/ 14-dik könyv
Muki egy medvebocs töténete,Panikay Róbert,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 16-dik könyv
Kék mesekönyv,Benedek Elek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ elso könyv
Zengo ABC,Móra Ferenc,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 11-dik könyv
Remekmuvek,Névtelen,Gyerekszoba/ 1-es szekrény/ 2-es polc/ 12-dik könyv
"""Povesti,  povestiri""",Ion Creanga,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 12-dik könyv
Csipike,Fodor Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 13-dik könyv és Gyerekszóba/ 1-es szekrény/ 2-es polc/ 26-dik könyv
Pinocchio kalandjai,Carlo Collodi,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 14-dik könyv
A megtalált kulcs,Cseke Gábor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 15-dik könyv
Grimm mesék,Grimm testvérek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 16-dik könyv
Tücsöknóta,Markó Béla,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 17-dik könyv
Karikázó ido,Markó Béla,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 18-dik könyv
Heidi,Johana Spyri,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 19-dik könyv
Madármarasztaló,Kányádi Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 2. és 3-dik könyv
Bambi gyermekei,Felix Salten,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 20-dik könyv
Bambi,Felix Salten,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 21-dik könyv
"""Sárkányölo Iolann, távoli népek meséi""",Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 2-dik könyv
Hófehérke és a hét törpe (válogatott Grimm mesék),Névtelen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 23-dik könyv
A dzsungel könyve,I. R. Kipling,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 24-dik könyv
"""Óz,  a nagy varázsló""",Frank Baum,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 25-dik könyv
A vén bajuzsos,Fodor Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 27-dik könyv
Világlátott egérke,Kányádi Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 28-dik könyv
Vuk és a Simaböruek,ifj. Fekete István,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 29-dik könyv
Kincskereso kisködmön,Móra Ferenc,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 30-dik könyv és Gyerekszóba/ 1-es szekrény/ 2-es polc/ 47-dik könyv
A forgószél,Lars-Henrik Olsen,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 31-dik könyv
"""Osz, tíz lap a Képek könyvébol""",Rilke Herbst,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 32-dik könyv
A két bors ökröcske,Benedek Elek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 33-dik könyv
Kinizsy Pál,Tatay Sándor,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 34-dik könyv
"""Üssed, üssed, botocskám!""",Benedek Elek,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 35-dik könyv
Embermesék,Lengyel Nagy Anna,Gyerekszóba/ 1-es szekrény/ 2-es polc/ 36-dik könyv
"""A beszélo köntös, Gavallérok""",Mikszáth Kálmán,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 15-dik könyv
Szigeti veszedelem,Zrinyi Miklós,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 16-dik könyv
Szigeti veszedelem,Zrinyi Miklós,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 17-dik könyv
A koszívu ember fiai,Jókai Mór,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 18-dik könyv
Vékára tett mécses,Veress Dániel,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 19-dik könyv
A nagy út,Korda István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 20 és 21-dik könyv
Bözsi,Czegei Mária,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 22-dik könyv
Abrakadabra,Szilágyi Domokos,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 23-dik könyv
Hargiatai vadászkalandok,Süto András,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 24-dik könyv
Végtelen út,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 25-dik könyv
Tüskevár,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 26-dik könyv
Tüskevár,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 27-dik könyv
Vuk,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 28-dik könyv
Cönde,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 29-dik könyv
Bogáncs,Fekete István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 30-dik könyv
Kuros hosök,Lampérth Géza,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 31-dik könyv
Esetünk a lóval,Pálfalvi Nándor,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 32-dik könyv
Csendélet halottal,Csík István,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 33-dik könyv
Az obsitos,Garay János,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 34-dik könyv
Magyar atomocska,Ozogány Erno,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 35-dik könyv
Megyek hóhányónak,Kuti János,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 36-dik könyv és Hálószoba/ 2-es szekrény/ 1-es polc/ 2-dik könyv
A becsületes Gyuri töténete,Mikszáth Kálmán,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 37-dik könyv
Négy tenger hajósa,Déné Tibor,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 38-dik könyv
Tamás bátya kunyhója,Harriet Beecher Stowe,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 39-dik könyv
Az ezeregyéjszaka legszebb meséi,Névtelen,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 40-dik könyv
Száz meg egy kiskutya,Dodie Smith,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 41-dik könyv
A csodalámpa,Benedek Elek,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 42-dik könyv
Zöldike királyfi,Névtelen,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 43-dik könyv és Gyerekszóba/ 1-es szekrény/ 2-es polc/ 6-dik könyv
"""Én, te, o""",Varga Katalin,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 44-dik könyv
Táltos János,Marton Lili,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 5-dik könyv
